2026-03-17 20:09:36 | INFO     | evaluate_model |     combined.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0

2026-03-17 20:09:36 | INFO     | evaluate_model | Checkpoint: /home/yuqyan/Yuqi/LSB-AI-Detection/scratch/sweep_20260311/v3_noise_noaug_canary/checkpoints/checkpoint_50.pt
2026-03-17 20:09:36 | INFO     | evaluate_model | Checkpoint: /home/yuqyan/Yuqi/LSB-AI-Detection/scratch/sweep_20260311/v3_noise_noaug_canary/checkpoints/checkpoint_40.pt
2026-03-17 20:09:36 | INFO     | evaluate_model | [1/70] 00011_eo (gt_mode=full)
2026-03-17 20:09:36 | INFO     | evaluate_model | [1/70] 00011_eo (gt_mode=full)
2026-03-17 20:09:37 | INFO     | evaluate_model |      streams.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:37 | INFO     | evaluate_model |   satellites.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:37 | INFO     | evaluate_model |     combined.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:37 | INFO     | evaluate_model | [7/70] 00022_eo (gt_mode=full)
2026-03-17 20:09:37 | INFO     | evaluate_model |      streams.raw: dice=0.5613 matched_iou=0.5802 inst_recall=0.4000 n_pred=5
2026-03-17 20:09:37 | INFO     | evaluate_model |   satellites.raw: dice=0.6262 matched_iou=0.6752 inst_recall=0.7500 n_pred=17
2026-03-17 20:09:37 | INFO     | evaluate_model |     combined.raw: dice=0.5793 matched_iou=0.6617 inst_recall=0.6667 n_pred=22
2026-03-17 20:09:37 | INFO     | evaluate_model |      streams.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:37 | INFO     | evaluate_model |   satellites.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:37 | INFO     | evaluate_model |     combined.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:38 | INFO     | evaluate_model | [8/70] 00022_fo (gt_mode=full)
2026-03-17 20:09:38 | INFO     | evaluate_model |      streams.raw: dice=0.3033 matched_iou=0.7374 inst_recall=0.0714 n_pred=2
2026-03-17 20:09:38 | INFO     | evaluate_model |   satellites.raw: dice=0.8180 matched_iou=0.7753 inst_recall=0.9655 n_pred=31
2026-03-17 20:09:38 | INFO     | evaluate_model |     combined.raw: dice=0.4309 matched_iou=0.7712 inst_recall=0.6977 n_pred=33
2026-03-17 20:09:38 | INFO     | evaluate_model |   satellites.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:38 | INFO     | evaluate_model |      streams.raw: dice=0.6626 matched_iou=0.6853 inst_recall=0.2857 n_pred=7
2026-03-17 20:09:38 | INFO     | evaluate_model |      streams.raw: dice=0.4240 matched_iou=0.6557 inst_recall=0.1429 n_pred=5
2026-03-17 20:09:38 | INFO     | evaluate_model | [2/70] 00011_fo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=1
2026-03-17 20:09:38 | INFO     | evaluate_model |   satellites.raw: dice=0.7641 matched_iou=0.7648 inst_recall=1.0000 n_pred=34
2026-03-17 20:09:39 | INFO     | evaluate_model |   satellites.raw: dice=0.8138 matched_iou=0.7412 inst_recall=1.0000 n_pred=32
2026-03-17 20:09:39 | INFO     | evaluate_model |     combined.raw: dice=0.7015 matched_iou=0.7549 inst_recall=0.7907 n_pred=41
2026-03-17 20:09:39 | INFO     | evaluate_model |     combined.raw: dice=0.5121 matched_iou=0.7295 inst_recall=0.7442 n_pred=37
2026-03-17 20:09:39 | INFO     | evaluate_model | [6/70] 00019_fo (gt_mode=full)
2026-03-17 20:09:39 | INFO     | evaluate_model | [2/70] 00011_fo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:39 | INFO     | evaluate_model | [2/70] 00011_fo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:39 | INFO     | evaluate_model |     combined.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:40 | INFO     | evaluate_model | [10/70] 00024_fo (gt_mode=full)
2026-03-17 20:09:40 | INFO     | evaluate_model |      streams.raw: dice=0.3212 matched_iou=0.6759 inst_recall=0.0714 n_pred=1
2026-03-17 20:09:40 | INFO     | evaluate_model |   satellites.raw: dice=0.7553 matched_iou=0.7607 inst_recall=0.9091 n_pred=26
2026-03-17 20:09:40 | INFO     | evaluate_model |     combined.raw: dice=0.4624 matched_iou=0.7513 inst_recall=0.6111 n_pred=27
2026-03-17 20:09:40 | INFO     | evaluate_model |      streams.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:40 | INFO     | evaluate_model |      streams.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:40 | INFO     | evaluate_model | [3/70] 00013_eo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:41 | INFO     | evaluate_model |      streams.raw: dice=0.2537 matched_iou=0.6151 inst_recall=0.1429 n_pred=2
2026-03-17 20:09:41 | INFO     | evaluate_model |   satellites.raw: dice=0.7318 matched_iou=0.7514 inst_recall=0.8636 n_pred=25
2026-03-17 20:09:41 | INFO     | evaluate_model |   satellites.raw: dice=0.6159 matched_iou=0.7427 inst_recall=0.8636 n_pred=27
2026-03-17 20:09:41 | INFO     | evaluate_model |     combined.raw: dice=0.2407 matched_iou=0.7402 inst_recall=0.5556 n_pred=25
2026-03-17 20:09:42 | INFO     | evaluate_model |     combined.raw: dice=0.3922 matched_iou=0.7217 inst_recall=0.6111 n_pred=29
2026-03-17 20:09:42 | INFO     | evaluate_model |   satellites.raw: dice=0.8059 matched_iou=0.8181 inst_recall=1.0000 n_pred=8
2026-03-17 20:09:42 | INFO     | evaluate_model |      streams.raw: dice=0.3277 matched_iou=0.8008 inst_recall=0.3333 n_pred=1

2026-03-17 20:09:42 | INFO     | evaluate_model | [3/70] 00013_eo (gt_mode=full)
2026-03-17 20:09:42 | INFO     | evaluate_model | [3/70] 00013_eo (gt_mode=full)
2026-03-17 20:09:42 | INFO     | evaluate_model |   satellites.raw: dice=0.7015 matched_iou=0.7863 inst_recall=0.9286 n_pred=22
2026-03-17 20:09:43 | INFO     | evaluate_model |     combined.raw: dice=0.4009 matched_iou=0.7874 inst_recall=0.8235 n_pred=23
2026-03-17 20:09:43 | INFO     | evaluate_model |      streams.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:43 | INFO     | evaluate_model | [4/70] 00013_fo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:43 | INFO     | evaluate_model |     combined.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:44 | INFO     | evaluate_model |      streams.raw: dice=0.3325 matched_iou=0.7952 inst_recall=0.3333 n_pred=1
2026-03-17 20:09:44 | INFO     | evaluate_model |      streams.raw: dice=0.2938 matched_iou=0.7267 inst_recall=0.3333 n_pred=1
2026-03-17 20:09:44 | INFO     | evaluate_model |   satellites.raw: dice=0.6765 matched_iou=0.8011 inst_recall=0.7857 n_pred=22
2026-03-17 20:09:44 | INFO     | evaluate_model |   satellites.raw: dice=0.6869 matched_iou=0.7828 inst_recall=0.8571 n_pred=21
2026-03-17 20:09:44 | INFO     | evaluate_model |     combined.raw: dice=0.3997 matched_iou=0.8006 inst_recall=0.7059 n_pred=23
