2026-02-02 11:50:02 | INFO     | build_dataset | Logging to file: /shares/feldmann.ics.mnf.uzh/Yuqi/LSB-AI-Detection/logs/build_dataset_2026-02-02.log
2026-02-02 11:50:02 | INFO     | build_dataset | Config: configs/data_prep_sam2.yaml
2026-02-02 11:50:02 | INFO     | build_dataset | ============================================================
2026-02-02 11:50:02 | INFO     | build_dataset | Dataset Build Started
2026-02-02 11:50:02 | INFO     | build_dataset | Format: folder_based
2026-02-02 11:50:02 | INFO     | build_dataset | Galaxies: 35
2026-02-02 11:50:02 | INFO     | build_dataset | Thresholds: 11
2026-02-02 11:50:02 | INFO     | build_dataset | ============================================================
2026-02-02 11:50:02 | INFO     | build_dataset | SAM2 output: data/02_processed/sam2_prepared
2026-02-02 11:50:02 | INFO     | build_dataset | Total samples to process: 1540
2026-02-02 11:50:02 | INFO     | build_dataset | Unique images: 140
2026-02-02 11:54:18 | WARNING  | build_dataset | Image not found: data/01_raw/LSB_and_Satellites/FIREbox-DR1/SB_maps/magnitudes-Fbox-72-eo-VIS2.fits.gz
2026-02-02 11:54:19 | WARNING  | build_dataset | Image not found: data/01_raw/LSB_and_Satellites/FIREbox-DR1/SB_maps/magnitudes-Fbox-72-fo-VIS2.fits.gz
2026-02-02 11:54:19 | INFO     | build_dataset | ============================================================
2026-02-02 11:54:19 | INFO     | build_dataset | Build Complete
2026-02-02 11:54:19 | INFO     | build_dataset |   Processed: 1025
2026-02-02 11:54:19 | INFO     | build_dataset |   Skipped (no image): 22
2026-02-02 11:54:19 | INFO     | build_dataset |   Skipped (no mask): 158
2026-02-02 11:54:19 | INFO     | build_dataset |   Skipped (empty mask): 335
2026-02-02 11:54:19 | INFO     | build_dataset | ============================================================
2026-02-02 15:31:11 | INFO     | build_dataset | Logging to file: /shares/feldmann.ics.mnf.uzh/Yuqi/LSB-AI-Detection/logs/build_dataset_2026-02-02.log
2026-02-02 15:31:11 | INFO     | build_dataset | Config: configs/data_prep_sam2.yaml
2026-02-02 15:31:11 | INFO     | build_dataset | ============================================================
2026-02-02 15:31:11 | INFO     | build_dataset | Dataset Build Started
2026-02-02 15:31:11 | INFO     | build_dataset | Format: folder_based
2026-02-02 15:31:11 | INFO     | build_dataset | Galaxies: 35
2026-02-02 15:31:11 | INFO     | build_dataset | Thresholds: 11
2026-02-02 15:31:11 | INFO     | build_dataset | ============================================================
2026-02-02 15:31:11 | INFO     | build_dataset | SAM2 output: data/02_processed/sam2_prepared
2026-02-02 15:31:11 | INFO     | build_dataset | Total samples to process: 1540
2026-02-02 15:31:11 | INFO     | build_dataset | Unique images: 140
2026-02-02 15:36:18 | WARNING  | build_dataset | Image not found: data/01_raw/LSB_and_Satellites/FIREbox-DR1/SB_maps/magnitudes-Fbox-72-eo-VIS2.fits.gz
2026-02-02 15:36:19 | WARNING  | build_dataset | Image not found: data/01_raw/LSB_and_Satellites/FIREbox-DR1/SB_maps/magnitudes-Fbox-72-fo-VIS2.fits.gz
2026-02-02 15:36:21 | INFO     | build_dataset | ============================================================
2026-02-02 15:36:21 | INFO     | build_dataset | Build Complete
2026-02-02 15:36:21 | INFO     | build_dataset |   Processed: 1025
2026-02-02 15:36:21 | INFO     | build_dataset |   Skipped (no image): 22
2026-02-02 15:36:21 | INFO     | build_dataset |   Skipped (no mask): 158
2026-02-02 15:36:21 | INFO     | build_dataset |   Skipped (empty mask): 335
2026-02-02 15:36:21 | INFO     | build_dataset | ============================================================
2026-02-02 16:00:33 | INFO     | build_dataset | Logging to file: /shares/feldmann.ics.mnf.uzh/Yuqi/LSB-AI-Detection/logs/build_dataset_2026-02-02.log
2026-02-02 16:00:33 | INFO     | build_dataset | Config: configs/data_prep_sam2.yaml
2026-02-02 16:00:33 | INFO     | build_dataset | ============================================================
2026-02-02 16:00:33 | INFO     | build_dataset | Dataset Build Started
2026-02-02 16:00:33 | INFO     | build_dataset | Format: folder_based
2026-02-02 16:00:33 | INFO     | build_dataset | Galaxies: 35
2026-02-02 16:00:33 | INFO     | build_dataset | Thresholds: 11
2026-02-02 16:00:33 | INFO     | build_dataset | ============================================================
2026-02-02 16:00:33 | INFO     | build_dataset | SAM2 output: data/02_processed/sam2_prepared
2026-02-02 16:00:33 | INFO     | build_dataset | Total samples to process: 1540
2026-02-02 16:00:33 | INFO     | build_dataset | Unique images: 140
2026-02-02 16:05:42 | WARNING  | build_dataset | Image not found: data/01_raw/LSB_and_Satellites/FIREbox-DR1/SB_maps/magnitudes-Fbox-72-eo-VIS2.fits.gz
2026-02-02 16:05:43 | WARNING  | build_dataset | Image not found: data/01_raw/LSB_and_Satellites/FIREbox-DR1/SB_maps/magnitudes-Fbox-72-fo-VIS2.fits.gz
2026-02-02 16:05:44 | INFO     | build_dataset | ============================================================
2026-02-02 16:05:44 | INFO     | build_dataset | Build Complete
2026-02-02 16:05:44 | INFO     | build_dataset |   Processed: 1025
2026-02-02 16:05:44 | INFO     | build_dataset |   Skipped (no image): 22
2026-02-02 16:05:44 | INFO     | build_dataset |   Skipped (no mask): 158
2026-02-02 16:05:44 | INFO     | build_dataset |   Skipped (empty mask): 335
2026-02-02 16:05:44 | INFO     | build_dataset | ============================================================
2026-02-02 16:09:14 | INFO     | build_dataset | Logging to file: /shares/feldmann.ics.mnf.uzh/Yuqi/LSB-AI-Detection/logs/build_dataset_2026-02-02.log
2026-02-02 16:09:14 | INFO     | build_dataset | Config: configs/data_prep_sam2.yaml
2026-02-02 16:09:14 | INFO     | build_dataset | ============================================================
2026-02-02 16:09:14 | INFO     | build_dataset | Dataset Build Started
